dataset,seed,forget_ratio,method,clients,affected_clients,forget_train,forget_test,retained_acc,retained_bacc,retained_auc,forget_scope_bacc,forget_scope_auc,mia_auc,mia_gap,l2_to_oracle,runtime,runtime_to_oracle,type_leak_auc,attribute_leak_auc,full_retained_bacc
Bank Marketing,5,0.5,Oracle-Retrain,24,21,1093,938,0.8798511009028988,0.4999549954995499,0.803970845633376,0.4994232987312572,0.8496677875789919,0.4709519973001285,0.0290480026998714,0.0,0.0439556250057648,1.0,1.0,0.9044555555555556,0.4999549954995499
Bank Marketing,5,1.0,FedAvg-Full,24,21,2186,938,0.8798511009028988,0.4999549954995499,0.804390254328863,0.4994232987312572,0.8506100037363744,0.4722775483450607,0.0277224516549392,0.0184328283559784,0.0419858329987619,1.0528779494887277,1.0,0.9238111111111111,0.4999549954995499
Bank Marketing,5,1.0,SISA-Retrain,24,21,2186,938,0.8798511009028988,0.4999549954995499,0.7889760941793388,0.5,0.8365742320126062,0.4723726485855912,0.0276273514144088,0.1512008555206888,0.020451165997656,0.5128535075367128,1.0,0.9224888888888889,0.4999549954995499
Bank Marketing,5,1.0,FedEraser-proxy,24,21,2186,938,0.8798511009028988,0.4999549954995499,0.8027349436790645,0.4994232987312572,0.8482707084490797,0.4723658208760146,0.0276341791239853,2.492592392391669e-06,0.0401060419972054,1.0057384656717825,1.0,0.9175555555555556,0.4999549954995499
Bank Marketing,5,1.0,FedRecovery-proxy,24,21,2186,938,0.8800095041976873,0.5006146261064102,0.8124116831208187,0.4994232987312572,0.8562633006806699,0.4722468236519663,0.0277531763480337,0.0918015201231412,0.0205298329819925,0.5148262380328081,1.0,0.9255333333333333,0.4999549954995499
Bank Marketing,5,1.0,Starfish-proxy,24,21,2186,938,0.8798511009028988,0.4999549954995499,0.8115419919300637,0.4994232987312572,0.8555810062218756,0.4722087835557541,0.0277912164442459,0.0817227157082534,0.0193353329959791,0.4848717842060807,0.9958333333333333,0.6697444444444445,0.4999549954995499
Bank Marketing,5,1.0,MA-ABE-FU,24,21,2186,938,0.8800095041976873,0.5006146261064102,0.8128521691219254,0.4994232987312572,0.8566531832285524,0.4722497498132134,0.0277502501867866,0.0955375157351513,0.0231864170054905,0.5814453459444593,0.6281666666666667,0.4650888888888889,0.4999549954995499
Bank Marketing,5,1.0,Oracle-Retrain,24,21,2186,938,0.8798511009028988,0.4999549954995499,0.8027361905055941,0.4994232987312572,0.8482707084490797,0.4723672839566382,0.0276327160433618,0.0,0.0398772080079652,1.0,1.0,0.9232777777777778,0.4999549954995499
Bank Marketing,13,0.25,FedAvg-Full,24,23,549,931,0.8803134647352173,0.5006159745039395,0.8093998297726657,0.5,0.8139802579709231,0.4967121159651666,0.0032878840348333,0.0042034234255564,0.0453691250004339,1.0308587628060268,1.0,0.8947888888888889,0.5006159745039395
Bank Marketing,13,0.25,SISA-Retrain,24,23,549,931,0.8801551492123803,0.499955035971223,0.7960035210430466,0.5,0.795215869311552,0.4975142774970212,0.0024857225029787,0.151617151169213,0.0217520000005606,0.4942400764599307,1.0,0.8794666666666666,0.5006159745039395
