dataset,forget_ratio,method,n,retained_bacc_mean,retained_bacc_ci,retained_auc_mean,retained_auc_ci,mia_gap_mean,mia_gap_ci,l2_to_oracle_mean,l2_to_oracle_ci,runtime_mean,runtime_ci,runtime_to_oracle_mean,runtime_to_oracle_ci,type_leak_auc_mean,type_leak_auc_ci,attribute_leak_auc_mean,attribute_leak_auc_ci
German Credit,1.0,Oracle-Retrain,3,0.5,0.0,0.7526471626016602,0.02480665245680822,0.02813458990332318,0.011163463506735517,0.0,0.0,0.003282430649657423,0.00013530125836887322,1.0,0.0,1.0,0.0,0.9168703703703703,0.0037837457029485525
Bank Marketing,0.25,FedAvg-Full,3,0.5001603715568584,0.00044721146284470965,0.8042040179399943,0.005987769934403918,0.01890640220411381,0.015570571263304373,0.004312221275975143,0.00017696324698764036,0.04385377766448073,0.0019452147849902033,1.0367120028307286,0.03328007840652566,1.0,0.0,0.8942037037037037,0.007238879318186248
Bank Marketing,0.25,SISA-Retrain,3,0.4999550346014387,4.349364470236406e-08,0.7907301123308516,0.0058746787326353555,0.018572659692556576,0.016013105606386732,0.15164137333248828,4.311173239684951e-05,0.02063319466348427,0.00216198096195657,0.48660836095531596,0.017305579760363416,1.0,0.0,0.8879111111111112,0.01752031358307782
Bank Marketing,0.25,FedEraser-proxy,3,0.5002711135280656,0.0003750433732187448,0.8041831848061616,0.00583135928584693,0.018949325832366064,0.0156301155284747,1.3256981893370176e-06,1.3316589808035742e-06,0.04170174965596137,0.0028912533327752265,0.9848272368419021,0.0048453182658642355,1.0,0.0,0.8944111111111112,0.007375575311591302
Bank Marketing,0.25,FedRecovery-proxy,3,0.5003810519625423,0.00023147299458914445,0.8124523326683133,0.006134266839746766,0.019281244956734184,0.015398474063446037,0.0906914784747667,0.00018093673750886423,0.021830152681407828,0.0010450456674759882,0.5159678700226177,0.012853932857891725,1.0,0.0,0.8877888888888888,0.013489096487511069
Bank Marketing,0.25,Starfish-proxy,3,0.5002711135280656,0.0003750433732187448,0.8115267507012854,0.005913360348000569,0.019184849837905193,0.015518492350509958,0.08038863744541865,0.00013065496956262218,0.021132194669917226,0.0015383550982971269,0.499009701739144,0.0060884870492197915,0.9692925925925926,0.0061737514048412455,0.6368259259259259,0.0359484763303624
Bank Marketing,0.25,MA-ABE-FU,3,0.5004917939337493,0.00020419007212741703,0.8128584480520534,0.005904427842780986,0.01926295095222062,0.01543482827455322,0.09458509588499704,0.00012628292821868295,0.026005096995504573,0.002369830267913855,0.613618826514667,0.013093370771956724,0.597,0.0383701351724523,0.4957962962962963,0.014964573408751024
Bank Marketing,0.25,Oracle-Retrain,3,0.5002711135280656,0.0003750433732187448,0.8041828465268237,0.0058318015822492394,0.018949325832366064,0.0156301155284747,0.0,0.0,0.042346971992325656,0.0029995588074457334,1.0,0.0,1.0,0.0,0.8899962962962963,0.004605735421289311
Bank Marketing,0.5,FedAvg-Full,3,0.5001603715568584,0.00044721146284470965,0.8042040179399943,0.005987769934403918,0.021563260956391068,0.010178801177506223,0.008795586987423684,0.00010548105013030337,0.04385377766448073,0.0019452147849902033,1.0094263080989903,0.05341592336939492,1.0,0.0,0.906162962962963,0.018307977060693204
Bank Marketing,0.5,SISA-Retrain,3,0.4999550346014387,4.349364470236406e-08,0.7904044114810865,0.005348974428016888,0.021757665154220007,0.010299555185217931,0.15148374421228278,3.692650554453294e-05,0.0215214583343671,0.0006838385553087351,0.49544485575326425,0.02416277586015342,1.0,0.0,0.9028814814814815,0.016345434068956555
